date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:12	109704/109704	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-26-scaled-1-20230616083006-8zopo.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-26-scaled-1-20230616083006-8zopo.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:12	85299/85299	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-32-2048x1365-1-20230616083006-whwhi.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-32-2048x1365-1-20230616083006-whwhi.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:13	99892/99892	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-33-scaled-1-2048x1365-20230616083009-76elv.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-33-scaled-1-2048x1365-20230616083009-76elv.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:13	104464/104464	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-8-scaled-1-20230616083006-wfmdz.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-8-scaled-1-20230616083006-wfmdz.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:13	109324/109324	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-35-2048x1365-1-20230616083030-dekhh.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-35-2048x1365-1-20230616083030-dekhh.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:13	95836/95836	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-36-scaled-1-20230616083031-i4ufj.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-36-scaled-1-20230616083031-i4ufj.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:14	71500/71500	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:41%20GMT	https://w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-29-20230616083006-radsi.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-29-20230616083006-radsi.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:14	1392800/1392800	---MCZ	200	added ('OK')	image/png	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/ml5-20230616083051-n_vwi.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/ml5-20230616083051-n_vwi.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:14	116698/116698	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/6qa-20230616083005-rlgww.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x700/5e51ff6161a254079fc6d2ed/6qa-20230616083005-rlgww.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:14	417916/417916	---MCZ	200	added ('OK')	image/png	date:Wed,%2007%20Aug%202024%2015:58:38%20GMT	https://w.ladicdn.com/s700x700/5e51ff6161a254079fc6d2ed/nhan-20230616083051-uifyf.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s700x700/5e51ff6161a254079fc6d2ed/nhan-20230616083051-uifyf.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:14	52320/52320	---MCZ	200	added ('OK')	image/png	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s450x400/5e51ff6161a254079fc6d2ed/ictiec1-20230616083032-l7p2i.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s450x400/5e51ff6161a254079fc6d2ed/ictiec1-20230616083032-l7p2i.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:15	14528/14528	---MCZ	200	added ('OK')	image/png	date:Wed,%2007%20Aug%202024%2015:58:38%20GMT	https://w.ladicdn.com/s400x450/5e51ff6161a254079fc6d2ed/icon-glass-copy-20230616083032-1gxzj.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s400x450/5e51ff6161a254079fc6d2ed/icon-glass-copy-20230616083032-1gxzj.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:15	22679/22679	---MCZ	200	added ('OK')	image/png	date:Wed,%2007%20Aug%202024%2015:58:38%20GMT	https://w.ladicdn.com/s400x450/5e51ff6161a254079fc6d2ed/icontiec2-20230616083032--vh9o.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s400x450/5e51ff6161a254079fc6d2ed/icontiec2-20230616083032--vh9o.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:15	207162/207162	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s900x1200/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-26-scaled-1-20230616083006-8zopo.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s900x1200/5e51ff6161a254079fc6d2ed/chup-hinh-cuoi-phim-truong-vu-garden-26-scaled-1-20230616083006-8zopo.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:15	24929/24929	---MCZ	200	added ('OK')	image/png	date:Wed,%2025%20Sep%202024%2007:21:37%20GMT	https://w.ladicdn.com/s900x450/5e51ff6161a254079fc6d2ed/ct_footer-20230616083031-37-dk.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s900x450/5e51ff6161a254079fc6d2ed/ct_footer-20230616083031-37-dk.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:15	20193/20193	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2001%20Nov%202024%2022:00:09%20GMT	https://w.ladicdn.com/s768x289/5e51ff6161a254079fc6d2ed/muslims-hero-bg-20230616081931-wmmk3.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s768x289/5e51ff6161a254079fc6d2ed/muslims-hero-bg-20230616081931-wmmk3.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:16	27011/27011	---MCZ	200	added ('OK')	image/png	date:Fri,%2001%20Nov%202024%2022:00:11%20GMT	https://w.ladicdn.com/s550x550/5e51ff6161a254079fc6d2ed/shape-4-20230616083124-sfw8e.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s550x550/5e51ff6161a254079fc6d2ed/shape-4-20230616083124-sfw8e.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:16	72346/72346	---MCZ	200	added ('OK')	image/jpeg	date:Sun,%2027%20Oct%202024%2009:41:24%20GMT	https://w.ladicdn.com/s1250x700/5e51ff6161a254079fc6d2ed/muslims-hero-bg-20230616081931-wmmk3.jpg	D:/OUTSOUCE/wedding/w.ladicdn.com/s1250x700/5e51ff6161a254079fc6d2ed/muslims-hero-bg-20230616081931-wmmk3.jpg	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
09:08:16	25777/25777	---MCZ	200	added ('OK')	image/png	date:Sun,%2027%20Oct%202024%2009:41:24%20GMT	https://w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/savethedates-20230616083051-cz7di.png	D:/OUTSOUCE/wedding/w.ladicdn.com/s600x500/5e51ff6161a254079fc6d2ed/savethedates-20230616083051-cz7di.png	(from https://w.tuybutky.com/524.minh-long-quynh-anh-3009)
